userid,今日の内容で、分かったこと・できたことを書いてください,今日の内容で、分からなかったこと・できなかったことを書いてください,今日の内容を自分なりの言葉で説明してみてください,今日の授業の感想や反省を書いてください,質問があれば書いてください
C-2021-2_U120,AIがまだ未発達であること。敵対的生成ネットワークによりディープフェイクなどの問題もある。,,"現段階でAIは特定型AIでまだ弱い。深層ニューラルネットワークにより発達している。
データ分析には予測も含まれる。",難しい計算問題等がないようなので少し安心しています。,
C-2021-2_U121,,,人工知能とは何なのか、そして現在使われている人工知能について学習した。さらに人工知能が成立するための元となる、機械学習について学習した。,人工知能や機械学習について学習した。個人的に興味深いテーマだったので、ワクワクしながら授業を受けることができて楽しかった。,
C-2021-2_U122,相関関係は注意してみなければならない。AIにはいまだにできないことも多い。,,擬似相関に気をつける。相関と因果関係は違う。データをグルーピングすることで把握しやすくなる。AIの多くは特化型。AIも学習する。AIは関数。AIは万能ではない。,"相関関係の話は経済学の授業で、AI,DXの話は課題協学の授業で学習した内容だったので、理解しやすかったです。",
C-2021-2_U124,自分の身近にも多くのAIが使われていることが分かった。,,"AIには色々な種類がある。また、様々な学習もある。
",いつも日誌を書くのが遅くなってしまうので気を付けたい。,
C-2021-2_U125,"発見とは、大規模なデータの中に潜む傾向を見つける方法で、発見のための代表的な手法には相関分析、頻出パターン発見がある。相関とは傾向の強さを表したものであり、正の相関、負の相関、無相関が存在する。中には因果関係が不明な見かけ上だけの「疑似相関」も存在するので注意しなければいけない。頻出パターン発見にはバスケット解析と言われるものがあり、アンケート結果の分析等にも応用されている。分類・グルーピングとはデータをいくつかのグループに分けることで、データ全体の把握が容易になる。分類を行う際、あらかじめグループが決まっている場合もあれば決まっていない場合もあり、あらかじめ決まっている場合は組み合わせや階層化が可能である。決まっていない場合については、似たようなグループが同じようなグループになるようにする「クラスタリング」が有効である。しかし、クラスタリングにも問題点は存在し、「似ている」の判断基準が難しいことがまず一つ挙げられる。
次に、AIと機械学習について。AIとは人間の知能を真似する機械であり、特定のことしか行えない「特化型AI」我々の知能と同様柔軟性と多機能性を持ち併せた強い「汎用AI」がある。身近なAIを挙げると、「Siri」「チャットボット」「顔認識」「画像診断」「医療診断」「推薦・広告の配信」など様々な場面で使用されている。ゲームと関連して、「IBM Watson」「コンピュータ将棋」「AlphaGo」など。ビジネスに関連して、「シェアリングエコノミー」「商品の推薦(リコメンド）」「顧客監視（サーベイランス）」「デジタルトランスフォーメーション」など存在する。AIを強くするためには、機械学習が必要であり、機械学習によって「予測」「認識・分類」「生成」などが可能になる。機械学習にはデータがたくさんあること、たくさんあっても似たようなデータではない事、の条件がそろっている必要がある。また、機械学習には「教師あり」と「教師なし」があり、教師とは人間があらかじめデータの正解を与えていることである。教師なし機械学習にはグルーピングが有効であり、データ分析の回でやった「クラスタリング」とは教師なし学習に該当する。大量データと学習によって非常に高性能なAIを実現できる「深層ニューラルネットワーク」について。予測・認識・生成など様々な課題に利用できる。AIの性能が最近劇的に向上した理由として、深層ニューラルネットワークの利用、大規模なデータが手に入るようになったこと、コンピュータの性能がアップしたことが挙げられるが、これら３つの理由を加速させているのが「オープン戦略」と言われるもので、無料で、誰でもAI関係の開発・研究ができるようになった点がブームの背後にある。しかし、現在のAIは決して万能とは言えず、実現できているのは特化型AIだけであり、その他にも十分なデータがないと正しく動かない、敵対的事例、フレーム問題、判断根拠が不明確など、問題点が存在する。",深層学習とは何なのか。,データ分析の基本、傾向や関連の発見と分類・グルーピングについて。AIと機械学習について。,データ分析の基本を知った。現在の人工知能は全く万能ではないという話を聞いて、日常で、顔認識でパスロックができなかったり、Siriが間違って音声を認識したりする場面を思い出した。不便に感じることが多々あるので、これから研究・開発が進みどんどん進化していくといいなと思った。,特にありません。
C-2021-2_U126,,,「発見」のための代表的方法として、相関分析と頻出パターン発見がある。データ分析ではグルーピングも大事である。グループがあらかじめ決まっていない場合はクラスタリングが有効である。特定の知能だけを人工的に実現したAIを特化型AIという。汎用AIはまだ検討段階であり、全脳シミュレーションなら可能と考えられている。AIを含む様々な情報処理技術によりビジネスや様々な組織の効率を向上させることをデジタルトランスフォーメーション（DX）という。機械学習により、AIは予測や認識・分類、生成までもできるようになっている。深層ニュートラルネットワークとは大量のデータと学習により実現される非常に高性能なAIである。,,特にありません。
C-2021-2_U127,データ分析の予測、傾向や関連の発見、グルーピングは、確かに前回の講義で学んだ通り、「身近」な作業であったが、それぞれデータの取り扱いについて、注意を払わなければ箇所があることがわかりました。また、人工知能は活用され始めてきているものの、いまだ道半ばであり、汎用AIの実現が求められていること、そして、特化型AIのビジネスでの活用例について学ぶことができました。そして、AIの機械学習のメカニズム並びに、AIの近年の目まぐるしい発展の土台となった、「オープン戦略」なども理解することができました。,,本日の内容は、主にデータ分析の基本とされる予測、傾向や関連の発見、グルーピングというテーマと、人工知能についてであった。予測は「精度」と「あてはめ方」が重要である。傾向や関連の発見では、擬似相関に注意が必要であり、グルーピングは、グループがあらかじめ決まっているかどうかで場合分けが求められ、「絶対的な正解」が存在しないことに気を配らなければならない。人工知能については、理想形は汎用AIであるが、現在の技術では実現不可能であり、特化型AIが普及しつつある。特化型AIは「中国語の部屋」などの問題を抱えてはいるが、ビジネスでの利用が数多く確認されている。また、機械学習は「関数」理論をもとに、予測、認識・分類、生成を可能にする作業で、「オープン戦略」や、それに付随する深層ニューラルネットワークの利用で高度化が進んでいる。しかし、敵対的事例、フレーム問題、判断根拠が不明確である事例など、人工知能に関する問題点は山積している。,今回の講義は、我々の身近な事例も多く取り上げてくださったおかげで、大変理解しやすかったです。そうしたこともあり、データ分析の基本である予測、傾向や関連の発見、グルーピングにおけるデータの取り扱い方の難しさは、今まで考えてこなかったことで、ギャップを強く感じることができました。次週以降も主体的に学習に取り組みたいと思います。,
C-2021-2_U128,,,,人工知能についての認識を色々変える面白い講義でした。人工知能は万能ですごいものと思っていましたが、最初は赤ちゃんと同じ状態なんだと思うと少し親近感がわきました。,
C-2021-2_U129,,,,現在身近なものにもAIが使われているということは知っていたが、皮膚がんの判定などAIが使われていると思っていなかったものもあり驚いた。また、AIは判断根拠が不明確であるという問題があるのは初めて知った。それから、深層ニューラルネットワークについて簡単な仕組みは分かったが、もう少し詳しく知りたいと思った。,
C-2021-2_U13,疑似相関と、相関関係と因果関係との違いがわかった。今まで自分の中でブラックボックス化されていたAIがどんな仕組みなのかをざっくりとではあれ、知ることができた。そして、既に日常にAIが溶け込んでいることを認識できた。,,発見とは大規模なデータの中に潜む傾向を見つける方法である。「発見」のための代表的手法に相関分析がある。AとBが相関しているとは、Aが増えればBが増えるというような傾向にあることをいう。これは因果関係（＝こういう原因だから、こういう結果になった）とは違う。また疑似相関の可能性もあるためデータを正しく読み取るよう注意する必要がある。データ分析をする上でグルーピングは有効な手段の一つである。データをグループ単位で見ることで全体の概要を簡単に把握することができる。グルーピングができない場合似たデータの塊であるクラスタを作成する。クラスタリングをするにあたっては何をもって似ているとするか、どれくらい似ているかなど考えるべきことが多く。答えが一様に定まるものではない。人工知能（AI）とは人間の知能を真似する機械のことで、特定の知能だけを人工的に実現したAIを特化型AIという。現在利用されているAIは全てこれ。我々の知能と同じ柔軟さと多機能性を持つAIを汎用AIと呼び、現状ではまだ検討段階である。人工知能はチャットbotや画像検索、顔認識など既に生活の中に溶け込んでいる。またシェアリングエコノミーやRPAなどビジネスの現場にもどんどん導入されている。人工知能を作るためには機械学習が必要である。これは、入力と出力のセットを大量に学習させることで理想の出力を得られるようにAIを調整するものだ。AIは関数であるからパラメータをいじることで調整を行う。最近主流なのは深層ニューラルネットワークというもので、ざっくりといえば入力データに対してさまざまな数を掛けたり足したりする操作を何回も繰り返すことで最終的な答えが出てくるというものである。,,
C-2021-2_U130,単にAIといっても細かい分類があったことは知らなかったので、新しいことが知れてよかった。AIの学習機能とヒトの学習機能も似通ったものであることにも驚いた。,,AIの現在の主流や、ビジネスとしてどのように使われているか、そして私たちの生活にどのように関わっているのかについて詳しく学んだ。,最近ではAIに仕事が奪われるとか、何かとAIに関する話題がよく挙がっているような傾向を感じる。AIの使用例を見ても、思っているよりもずっと人間の生活に関わっているので、これからの将来のためにもAIについての知識を蓄えていくことが大切だと感じた。,
C-2021-2_U131,"AIにもさまざまな種類が存在し、人間と同じように学習して成長する生き物のようなものだということがよくわかった。
演習問題はなかったが、BR-Mapを作成することで様々な言葉を結び付けて覚えることができたと思う。
",,"AIには特化型AI、汎用型AIの二つがあり、今は特化型AIのみが実用化されている。
私たちの身近に様々なAIが存在していて、ビジネスにも活用されている。
AIも人間と同じように学習（AIの場合機械学習と呼ぶ）をして成長する。
特化型AIは万能ではない。（敵対的事例、フレーム問題、判断根拠が不明確の三つの理由）",授業中に、「習っていないものについては融通が利かない」という点が、人間とAIの異なる点であると先生がおっしゃっていたが、今の時代、人間もそのような人材は求められておらず、自ら学びに行く姿勢が大事だということをよく言われているので、AIと人間は全く違うようで似ているところもあるのではないかと思った。宿題のBR-Mapを作るのはとても大変だけれど最近慣れてきて少し楽しくなってきたので、より良いものを作るために情報の取捨選択の程度に気を付けてこれからも頑張りたい。,
C-2021-2_U132,データ分析は結構身近なものであるということ,擬似相関の話がよくわからなかった,データ分析は現在様々な分野で用いられていて、誰でも無意識にやっていることであるということ,今回は数学的な分野についての話が少なかったので分かり易かった,
C-2021-2_U133,今、世の中で使われているAIは、特定のことしかできず、万能とはいえないものであるということがわかった。機械学習によって、予測、認識・分類、生成が可能になるということがわかった。大規模なデータがあること、深層ニューラルネットワークによって、AIの性能が向上していることも理解できた。,深層ニューラルネットワークや、パラメータのところがわかりにくかった。,データの分析の基本事項について学んだ。身近にあるAIや機械学習、深層ニューラルネットワークについて学んだ。,AIは私たちの身近なものに使われているもので、AIに職がとられるなど言われていたりもするので、興味深かった。AIの仕組みはあまり知らなかったが、今日の授業でどのように答えを導き出しているのかが少しわかったし、今のAIはまだ万能ではないということがわかって、さらに興味をもった。,
C-2021-2_U136,ネットワークの正体を初めて知りました。,,データやAIの種類や違い,聞いたことがある話が多かったけれど知らない単語が何個か出てきたので復習しようと思いました。,
C-2021-2_U137,AIには特化型AIと汎用AIがあり、汎用AIはまだ完成していないことは初めて知りました。,深層ニュートラルネットワークについて、詳しく調べてみたいです。,データの分析のポイントとして、相関も着目するという方法がある。ここで、相関と因果関係は違うことを忘れてはいけない。データ分析の方法として、グルーピングという方法もある。また、身の回りに増えてきたAIは特化型AIであり、人間と同じような頭脳を持つ汎用AIは実現していない。AIを賢くしていく際に行われるのが機械学習である。性能を増し続けているAIであるが、AIは万能ではない！,特化型AIによって消えていく仕事が増えているというのに、汎用AIが完成してしまえば人間のできる仕事がなくなってしまいそうで怖いなと思いました。AIに負けない何かを持って社会に出たいです！,特にありません。
C-2021-2_U139,AIの現在の活用のされ方や、その仕組みが理解できた。,,,,
C-2021-2_U14,発見のための手法に相関分析と頻出パターン発見があることが分かった。相関分析では必ずしもそれぞれの要素が因果関係で結びついているわけではなく、表面上に表れていない別の要因があることを疑う必要があると感じた。また、AIについては現在利用されているのが特化型AIであるということが分かった。そのAIは私たちの身近やビジネス分野に多く利用されていることを知った。,AIについてよく理解できた。,発見とはデータの中に潜む傾向を見つけることを言い、そのための手法に相関分析、頻出パターン発見がある。相関分析では疑似相関や因果関係に注意しなければならない。データをいくつかのグループに分けることをグルーピングといい、その目的はデータ全体の情報把握を容易にすることである。人工知能（AI)は人間の知能をマネする機械であるが、現在使用されているのは特定の知能を真似する特化型AIである。私たちの身近にも人工知能は多く利用されており、ビジネスでも活用されている。AIも人間と同じように学習によって賢くなることができる。機械学習によって予測、認識・分類、生成が可能になる。現在のAIは完璧なものとは言えず、問題点もある。,身近にある人工知能が私たちの生活に役立つ場面が多くなってきていることは便利になってうれしい反面、自分より賢い機械が生み出されていくことに恐ろしさも感じた。Webページに出てくるおすすめ商品が自分の趣味に合うものが多いことを前に疑問に思っていたことがあるのだが、それがAIの推測によるものだと分かり、納得した。,特にありません。
C-2021-2_U140,AIが近年急速に発展した理由として、深層ニュートラルネットワークの利用によって、どんなに複雑な情報でもデータに落とし込むことができるようになった点や、大規模なデータが手に入るようになった点、コンピューターがパワーアップした点などが合わさった結果なのだと分かった。,,"相関分析：相関には強さや正負などの判断材料が存在する。擬似相関に注意。グルーピング：データをいくつかの種類に分けること。
クラスタリング：にたデータが同じグループになるように調整すること。多様な分け方が存在する。
特化型AIは、人間の知能の一部を操る。汎用型AIは、人間の知能に近い。チャットや顔認識など。
シェアリングエコノミーやリコメンド、サーベイランス、デジタルトランスフォーメーションなど様々な用途に使われる。
機械学習：たくさんの例から学ぶ。学んだことを応用できればベスト。
AIとは、決まった答えを出す知能である。しかし、万能ではない。
深層ニュートラルネットワークの発達によって、AIの知能が劇的に向上。技術が公開されているのも発展に寄与した。",AIが人間の仕事を奪うのではないかということは、前々から言われていたが、AIが苦手な分野であれば基本的に職を奪われる可能性はかなり低いだろう。それよりも、AIの方が得意な分野はAIを利用し、人は人にしかできない分野で仕事をすることによって、組織を効率化することができるのだと思った。,
C-2021-2_U141,傾向が示す本当の意味、コロナ時期でよく聞くクラスターという言葉の元、そしてAIの学習の仕組みについて知れた。,特にありません。,データ分析に関して予測、関連や分類など、そして人工知能AIと機械が行う学習についての説明を聞いた。,AIの学習について前からずっと気になっていたので、講義を聞き理解を深めることができてうれしかったです。自分もチャット機能付きのロボットアプリをダウンロードして遊んでますが、AIとは全く違う仕組みなので、いつか自分が話した言葉から学習をし、AIなりの返事が聞ける日が来れたらいいなと思っています。,特にありません。
C-2021-2_U142,クラスタリングは一見いろんなことに役立つようにみえるが、似ているという程度の測りかたや着目する点の違いによって問題が発生してくるという、クラスタリングのメリット、デメリットがはっきり分かった。,深層ニュートラルネットワークの話で、掛け算や足し算をするだけで最終的な答えがでてくる(例:ひまわりの画像を見せて、ひまわりという答えを出させる)ということの意味がよく分からなかった。,"Aも増えればBも増えるというような傾向があるとき、AとBは相関するということができる。相関には強さがあり、正負もある。しかし、疑似相関というものもあり、これは見かけ上相関関係があるように見えているだけなので注意が必要。また、因果関係とも違うので注意。「Q2がyesの人はQ5もyesである」というように、同時に起こる可能性や、傾向を分析するときに使うのがバスケット解析である。
グルーピングは、グループがあらかじめ決まっている場合はやりやすく、組合せや階層化が可能。グループがあらかじめ決まっていない場合はクラスタリングといわれるデータサイエンスでよく用いられる方法を使う。クラスタリングの目的は、似たデータをもつグループを見つけること。クラスタリングには、どこが似ているのか、どのくらい似ているのかなど、どこに着目するのかどうやって似ている程度を測るのかなどの問題がある。そのため、絶対的な正解が存在しないことが多い。
AIは様々なことを行っているが、日常的に私たちが耳にするのは特化型AIである。汎用AIとは我々の知能と同じ柔軟さや多機能性をもつ強いAIのことだが、まだまだ検討途中である。シェアリングエコノミーでは、予測によって価格の自動決定や人為的リソースの配置などによってAIのビジネス利用が行われている。
機械学習は、私たちの学習と同じもの。機械学習によって天気予報のような予測や認識・分類、絵を描くなどの生成ができるようになる。機械学習におけるデータは十分な量と多くの種類が必要である。AIは、何かをいれたら何かがでてくるというような関数のようなものである。
深層ニュートラルネットワークとは、様々な数をかけたり足したりすることで最終的な答えが出てくる。AIの性能は、ビックデータやコンピューターの計算速度の上昇で劇的に向上した。
現在のAIは実現できているのは特化型AIのみであり、融通が利かないし、習っていないこと以外のことができない。",バスケット解析や特化型AIなど、普段無意識にやっているものやニュースなどで耳にしたことがあるものが今回の講義では出てきて、興味が持てたし、面白かった。,
C-2021-2_U143,データサイエンスは、数学の定理を用いることもあるが、それだけではすべてが説明できない、答えのない学問であると知った。例えばクラスタリングに絶対の正解はない。特化型AIとは、どういうものなのか、中国語の部屋の例でよく理解できた。学生のテスト勉強を機械学習の例にするのは分かりやすかった。AIは関数であり、その関数をいじることで、理想のAIを作ると分かった。,,前回の二分探索の接尾辞の復習を行ったあと、データサイエンスの内容に入った。データ分析の基本である、相関関係とグルーピングについて学んだ。AIは、どのような種類があるのか、どのように活用されているのかを学んだ。また、AIがどんな仕組みなのかを大まかに学んだ。,,
C-2021-2_U144,相関関係と因果関係は同じようなものに見えるが全然違うものだということがわかった。AIには様々な種類があり、それぞれ活躍する場所が違った。AIが劇的に向上しているのには理由があるということがわかった。,,データの基本、相関関係について、相関関係と因果関係の違い。データの分析やグルーピング。AIについて、身の回りでのAIの使われ方。,,
C-2021-2_U145,"一見相関があるように感じられても、疑似相関であるときもあること。さらに、相関と因果関係は別であること
クラスタリングで全体を把握することは可能だが、データ同士がどのように、どの程度似ているのかなど検討するべき点が多いこと
現在のAIは特化型であることと、大量データと学習によって高性能なAIが実現可能であること
最近のAIの正体は深層ニューラルネットワークであるが、その判断根拠を見出すことが課題であること","疑似相関を見抜くことは想像以上に難しかった。
","データ分析について。主に傾向や関連の発見についてとグルーピングについて
AIと機械学習について",,
C-2021-2_U146,,,我々は意外とaiにかこまれた生活をおくっている,,
C-2021-2_U147,知らなかったグルーピングについて知ることができた。,,"前回に続いて、データ分析の基本のうち、相関分析とグルーピング（データをいくつかのグループに分けること）がある。これからの時代主となりつつあるAIにも学習が必要である。
",AIって実に興味深いです。,
C-2021-2_U148,AIは今のところ弱いAIといってある特定の事柄にしか対応できないということが分かった。,,ある二つのデータがある時、片方のデータの数字が上昇するともう片方のデータの数字が上昇または下降することを相関関係があるという。しかし相関関係は直接因果関係を表すものではない。データをグループごとに分けることをグルーピングといい、グループがあらかじめ決まっていないものをグループ化することをクラスタリングという。データを活用して人間の知能を再現するものをAIといい、現在は特定の分野だけの特化型AIまたの名を弱いAI という。AIはデータを多く収集して学習し関数のように出力する。,AIが人間の知能に及ぶことは当分ないという話が興味深かった,
C-2021-2_U151,,,"今あるAIは特化型AIであり、「弱いAI]である。また、現在は「強いAI」は定義されていない。AIの機械学習とは関数をいじる、つまり、パラメータをいじっていることと等しい。
",今回で章の区切りがきた。今回はデータやAIはどのようなものかについて学んだ。自分の知識を整理すると同時にBRマップを作成していきたい。,
C-2021-2_U152,AIに対する理解がより深めることができた。,,さまざまなAIについて,,
C-2021-2_U153,AIと機械学習について例を交えたりして理解することができました。,,データ解析の基本では、相関分析や　クラスタリング　最適化を例を交えたりして学びました。AI・機械学習については、身近にあるAIの例や特化型AIと汎用AIの違い、機械学習の全般的な内容について学びました。,AI・機械学習は元から興味のあった内容だったので楽しく学ぶことができました。,
C-2021-2_U154,,,相関には強さがあり、正の相関と負の相関のように双方の関係を表す。擬似相関に注意しなければいけず、相関だけで因果関係を見出してはいけない。また、グルーピングをすることで、データ全体の状況把握が容易になる。クラスタリングによって、データ全体の多様性がわかり、各クラスタの勢力関係が分かり、代表例を見ることで傾向を把握できる。クラスタリングは絶対的な正解はない。AIの性能が劇的に向上した理由は、深層ニューラルネットワークを利用したことや大規模なネットワークを利用したこと、コンピュータの性能が上がったことが挙げられる。,,
C-2021-2_U156,AIは関数であり、予測、認識分類、生成をする。,,身近な人工知能や機械学習について,マンネリ化してきたので今一度気を引き締めて授業にのぞみたい。,
C-2021-2_U158,AIの能力の違い,,AIの分類,AIにも特徴があって、できることに大きな差があることが分かった。,
C-2021-2_U159,AIがどのように機械学習の上で働いているか。,,データ分析と機械学習の内容,経済工学科として、機械学習やデータ分析はとても興味があります。とても面白かったです。,
C-2021-2_U16,,,,ctrl＋Fで検索結果から言葉を探せることを知らなかったので驚いた。試してみたところ非常に便利な機能なので、今後使っていきたいと思った。,
C-2021-2_U160,"データ分析3つのタスク
予測、発見、分類
擬似相関には気をつける。",,"データを分析することはとても身近なことでありながら、とても大切なことである。
",今までの授業の中で特に身近な内容であり、難しそうな内容でありながら、普段からやっている事だなと思った。,
C-2021-2_U161,AIを活用することでビジネスもできることが分かった。人工知能をうまく活用できるようになれば、ビジネスを成功させるだけでなく、仕事を奪われることもないと分かった。,,"データ分析の基本として予測、傾向や関連の発見、分類・グルーピングがある。予測とは過去のデータの傾向や結果に基づいてデータの予想を立てることである。予測は過去のデータを集められなかったり、要因が不明な場合があったり、現時点と予測時点で状況が違う場合があったりすることから難しい時もある。発見とは相関分析や頻出パターンを使ってデータを分析することである。分類・グルーピングとはデータをいくつかのグループに分けることでデータの把握を容易にするものである。
人工知能とは人間の知能を真似する機械のことであり、大きく特化型AIと汎用AIに分かれる。特化型AIは特定の知能だけを学習したAIのことである。また、汎用AIとは人間の知能と同じ柔軟さと多機能性を持つAIのことである。ただ、まだ実現はしていないのが現状である。",,
C-2021-2_U162,,,データ分析のやり方と方法について学んだ。グルーピングやクラスタリングなどの良い点や悪い点について学び、データを扱うときの注意点を知ることができた。現在のAIの発展について学んだ。,データの分析のやりかたを学べてよかった。AIの話が面白かった。,
C-2021-2_U163,データの定義、またその解析とその必要性,"実際に自らデータを扱うこと。
","データとは物事を推測する時に基礎となる事実であり、またコンピューターでプログラムを使った処理の対象となる記号化、数値化された資料である。 また、そのデータは量的データのうち比率データ、間隔データ、また質的データのうち順位データ、カテゴリデータの四つに分類される。 昨今では客観性や再現性を持つ根拠としてのデータが学術的、社会的に要請されており、またその膨大なデータをさばくためにデータ分析技術も大きく進展している。またそのデータ分析は予測発見分類グルーピングの主に三つに分けられる 。
",今回改めてデータサイエンスに触れることが出来て大きな学びになると感じた。,
C-2021-2_U164,"AIとは結局関数のようなものだということ。
",,"データ分析の種類
AIの仕組みや学習の仕方、活用方法",,
C-2021-2_U167,,,,　小テストでデータ解析の対象となるものを選ぶとき、いろいろ考えて選んだが、データであればその種類に関わらず、解析の対象となるようだった。AIは関数であるというタイトルで心が折れそうになったが、苦手な人用に注釈がついていたのでモチベーションを維持できた。,
C-2021-2_U17,AIにできることとできないことについてわかった。,特にありません。,"データ分析の基本・・・傾向や関連の発展(発見、相関分析)、分析・グルーピング、最適化
AIと機械学習・・・人工知能とその応用(特定型AI 、汎用AI）、応用は様々例を用いての説明
　　　　　　　　　機械学習、関数、深層ニューラルネットワーク
　　　　　　　　　今のAIにできないこと
敵対的生成ネットワークなどその他のAIの特徴など",今回は計算が少なかったこともあり、理解しやすかった。AIはとても進化しているとおもっており、本当にいろんな仕事がもうすぐAIに変わってしまうだろうと思っていたが、そこまでAI は万能ではないことは分かった。,"AIは大量のデータを学習して精度を上げていくことは分かったのですが、実際どれほどのデータを最初に学習させるのですか？
"
C-2021-2_U170,,,データにはさまざまな種類があり、私たちの日常では欠かせないものとなっている。,,
C-2021-2_U171,私たちが日ごろ行っている予測に使われている手法が分かった。,予測モデルによって予測結果がなぜ異なるのかあまりわからなかった。,身近な予測にもデータを用いた予測の方法が使われている。予測モデルは様々考えられるが、モデルによって制度は異なる。また、同じ予測モデルでもあてはめ方はさまざまであり、適切な使用が求められる。大規模なデータの中に潜む傾向を見つけることを傾向という。発見のための代表的手段に相関分析が用いられ、相関には正、負、無相関があり疑似相関に気をつける必要がある。また相関と因果関係は別のもので、AとBの相関ではAとBのどちらが原因と結果かはわからない。,相関についての復習をして、身近なもののデータの予測をしてみようと思った。,
C-2021-2_U174,,,情報科学におけるデータ、人工知能とは何か、また、データ分析や人工知能はどのように使われるか。,データや人工知能にいくつかの種類があるのは初めて知りました。相関関係に見えても擬似相関だったり、因果関係に見えても相関関係だったりすることがるので、気を付けてデータ分析をする必要があると思いました。,
C-2021-2_U18,AIを内側と外側から広く知ることができました。機械学習の前回よりも深いないようであったり、ビジネスへの利用や問題点などがわかりました。,教師あり機械学習、教師なし機械学習についてよくわかりませんでした。,主に人口知能のことについてでまず人工知能には特化型AIと汎用AIがある。汎用AIの開発に力を入れている。機械学習によりコンピューターを更にパワーアップさせており、その成長を真相ニュートラルネットワークや大規模データが支えている。さらにこれらの要因をオープン戦略が拍車をかけている。こうしたAＩはビジネスにも活用されており、その形態としてシェアリングエコノミーやＤＸ、リコメンドなどがある。しかし、ＡＩにはできないこともあり、敵対的事例やふれーむ問題などがある。,AIについて知ることにより人間のアイデンティティとは何だろうかと考えることができました。自動化が進む中でAIの仕組みを知ることで人間の強みとAIの強みとがうまく補完するように考えていかなくてはならないなと思いました。,
C-2021-2_U19,AIの概要についてよく理解できた。,,AIは「機械学習」によって人間のように学び、成長し、ある程度まで発展した現在は日常やビジネスのいろんな場面で導入されているが、いまだ完全なAIや人間のようなAIは誕生していない。,BRmapを作ることで理解度をもう一段あげることができたような気がします。,
C-2021-2_U20,AI流行りの背景には、マシンの向上と同時に今よく聞くオープン戦略(GitHubやKaggle)という人的環境もあるとわかった。,このパートはよく聞く内容で概要レベルの話は馴染みがありますね。,"昨今流行りまくっているAIについて超ざっくりと学習した。
AIとかほざいているコンピュータがどうやって人間らしく""振舞わせている""のかについて抽象的な方法論だけ紹介された。",,
C-2021-2_U21,AIの性能がなぜ向上したのかずっとあやふやでわからないままだったが、深層ニューラルネットワークを利用していること、非常に大規模なデータが手に入るようになったこと、コンピュータがパワーアップしたことが理由であるとわかった。,,,,
C-2021-2_U24,特化型AIしか実現できておらず、それにもまだ問題がある,,AIはぼんやり思っていたほど万能なものではなく、さらなる発展が望まれる,前回欠席してしまったのでBR-mapの作成時に振り返りをきちんとしておきます。,
C-2021-2_U25,AIができること・できないこと,深層ニューラルネットワーク,AIの能力・種類,次こそは小テストで満点を取りたい。,
C-2021-2_U26,グルーピングを行う際に、グループがあらかじめ決まっていない場合にはクラスタリングが用いられることが分かった。また、クラスタリングの有用性や問題点について理解できた。AIの学習の仕方についても知ることができた。,特にありません。,"大規模なデータの中に潜む傾向を見つけるためには相関分析、頻出パターン発見といった手法が用いられる。また、データ分析においてはグルーピングが行われる。
現在利用されているすべてのAIは、特定のことしかできない特化型AIである。AIは顔認識、医療診断など、身近なところでも利用されている。AIは学習することによって賢くなるものであり、深層ニューラルネットワークの利用などによって近年性能が大きく向上した。",AIと聞くと難しい話のように思っていたが、授業を通してAIとはどういった特徴を持ったものなのか、またどのように学習するのかについて大まかに理解することができた。次回の授業でも集中して頑張りたい。,提出フォームが表示されないため、BR-Mapが提出できません。
C-2021-2_U27,,特にありません。,,今日の内容は課題協学のデータの利活用という授業で習ったところも出ており、身近に感じやすい話題だった。,特にありません
C-2021-2_U28,,,,,特にありません。
C-2021-2_U29,"AIは特化型であり、脳みたいに多機能ではない
AIは身近で多く活用されており、経済活動などでもなくてはならない存在となった
AIも人間と同じく学習が必要で入力と出力を繰り返す必要がある

",ニューラルネットワークについてもう少し具体的に知りたかった,"AIについてどのように活用されているか
脳とAIの違い
深層ニューラルネットワークや機械学習について","AIについて興味がある分野だったので講義が終わるのが早く感じた。
経済活動などでどのように活用されて、どのような効果を生み出しているのかを自分で調べたいと思った。
どのようにすればAIが多機能になるのかについて興味を持った",
