userid,1,2,3,4,5,6,7,8,target
C-2021-1_U33,"""Merge sort divides into one element, then integrates (merges) and sorts.
A comparison sorting algorithm would require O(n log n) comparisons. The number of comparisons is equal to the number of edges in the decision tree.
Linear search is a method of searching for a one by one from the left end. In the worst case, we have to compare n times.
Binary search is a method of dividing into two and repeating dividing the applicable half into two again. The number of searches does not exceed log2n. ""","""It turns out that binary search is much faster than linear search.""",,,"""Since it is difficult to understand the amount of calculation and the number of comparisons expressed by mathematical formulas, I would like to understand why this number of times is required so that I can find it myself.""",,,,-1
C-2021-1_U35,"""I learned about merge sort and binary search. I think the point of merge sort is to divide and then merge. The basic idea of ​​binary search is to divide it into two and compare it with the middle one.""","""I understood well what exactly merge sort and binary search do.""",,,"""I think I understood it well this time. However, the content of B that I have studied the last few times was a little difficult. Especially, I still feel uncertain about the consideration of computational complexity. Before the test, etc. I want to keep my textbooks clean.""",,,,-1
C-2021-1_U36,"""・What is Merge Sort?
・Information retrieval: linear search, binary search
・Sort strings
・Text Search""","""・Merge sort
Divide the numerical sequence and integrate while comparing
Number of comparisons: n1+n2-1
Compare each stage a maximum of n times, the number of stages is at most log2, so the number of comparisons is at most nlog2n
・Comparison sorting always requires O(nlog2n) comparisons
・Linear search: Compare from the top of the unsorted column. max n times
Binary search: Compare with the element in the middle. Maximum log2n → Overwhelmingly fast
・Binary search complexity is klogn based on lexical order even for character strings
・Think about the suffix first → Sort by dictionary order → Binary search
The amount of computation is klogn""",,"""Nothing in particular""","""Personally, merge sort and binary search were intuitively easier to understand than binary trees.
I've been a little confused about why log2 appears a few times, but it's because the number is repeatedly doubled and halved.
It seems that the maximum computational complexity of various sorts will be mixed, so I will summarize it with LGC. """,,,,-2
C-2021-1_U37,,"""For binary search, each step reduces the search range to 1/2 or less""","""calculate log""",,"""There are some things I still don't understand, so I want to review.""",,,,-2
C-2021-1_U38,,,"""I don't know what criteria separates a, b, and c on page 28 of Merge Sort.""",,"""Personally, I found merge sort to be the most straightforward and simple. I was surprised that the most efficient binary search was discovered recently, and I found it to be even more efficient than this. I had a feeling I might have more ideas.
""",,,,0
C-2021-1_U39,,"""I learned that mergesort is recursive.""","""The binary search algorithm didn't quite make sense to me. I'm not sure.""",,,,,,-1
C-2021-1_U40,,,,,"""I was impressed by the precise calculation behind the searches of google and Yahoo.""",,,,-2
C-2021-1_U43,"""I learned about mergesort and binary search.""","""Binary search is more efficient than linear search.""","""How to do mergesort when it's not factorial of 2""",,,,,,-2
C-2021-1_U44,,"""What mergesort looks like
About binary search
Their computational complexity""","""Computational problems, why is the amount of computation so?""",,,,,,0
C-2021-1_U45,"""Mergesort can be simpler because it doesn't use a binary tree.
A linear search is not efficient, so we perform a binary search in which the elements of S are reduced. ""","""I understand mergesort, linear search, and binary search.""","""I don't quite understand the meaning of the formula. Is it something I can remember?""",,"""Today's class was a little more difficult to understand than last time. I still don't understand the formulas using log well, so I would like to practice.""",,,,-1
C-2021-1_U46,"""About binary search and mergesort.""",,,,"""As soon as a calculation comes up, my motivation goes away, so I want to raise my motivation and challenge the class.""",,,,-2
C-2021-1_U47,"""In addition to the method of comparing the order by element comparison, there is a method of comparing the order using the binary search method, and there are many problems in the field of computer science.""","""We found that binary search is overwhelmingly faster than linear search with less computational complexity.""","""I didn't really understand the number of comparisons in the comparison sorting algorithm, so I'm going to review it.""",,"""I still don't fully understand how the binary search algorithm works, so I thought I'd review it.""",,,,-2
C-2021-1_U48,"""Merge sort is an algorithm that can align new columns by sorting smaller columns first when merging (integrating) multiple columns. Binary search is a simple and fast algorithm. , must already be aligned.""","""I was surprised to learn that a simple but powerful binary search has actually been invented recently. It made me realize that there are still infinite possibilities in computer science, where not much is yet known. """,,,,,,,-3
C-2021-1_U49,"""・Merge sort Comparing the heads of two number sequences and creating a new number sequence
・ Maximum number of comparisons (sum of elements of two sequences) -1
・All comparison sorts can be expressed using decision trees.
・The height of the decision tree is the worst number of comparisons
・Linear search method (compare whether it is a specific element in a certain sequence or not)
・Binary search method: When finding x in a prearranged number sequence, find it by using the magnitude relationship with y.""","""・Merge sort by comparing the beginnings of two existing numerical sequences and rearranging them into one numerical sequence
・The order of sorting so far does not change much, nlogn or n squared
・In some cases, the binary search method can significantly reduce the amount of calculation.""","""・It was hard to understand when characters like computer programming came out in binary search.""",,,,,,-2
C-2021-1_U50,"""Learn merge sort and binary search methods and deepen your understanding of algorithms.""","""I was able to deepen my understanding by seeing an example of mergesort execution. I learned that comparison sorting algorithms can be represented by decision trees.""",,,"""Binary search got confused in the middle of the explanation and I couldn't keep up, so I thought I'd review it properly. I've learned all the representative algorithms so far, so I'm going to deepen my understanding of each one. I want to continue.""",,,,0
C-2021-1_U51,"""I learned how to do merge sort, how to find the worst number of comparisons for each sort using elements, and the usefulness of binary search conditions.""","""During binary search, we found that the number of comparisons varies significantly between ordered and unordered sequences.""","""I didn't fully understand all of the worst-case comparison counts for each algorithm and their order notation values, so I'll review and understand them.""",,"""I think it's a great achievement just to be able to search, but I think it's really amazing that you created a method such as binary search that greatly reduces the time.
With this development, it is possible to process complex and very long character strings in a short time, and I thought that the time would come when everything would be clarified. """,,,,-2
C-2021-1_U52,"""Efficient sorting methods such as merge sort and binary search""","""Mergesort is more efficient than any other sort we've seen so far""","""Order, I don't really know what you are like""",,"""Sorting was something I saw on an NHK program, and I remember it being merge sort. There were parts I didn't quite understand, such as binary search and order notation.""",,,,0
C-2021-1_U53,"""Mergesort is a computational method performed by dividing the input sequence into smaller sequences and then merging them together. Linear search compares values ​​in order to find the same A two-part search is a comparison that uses the middle of a series of numbers arranged in advance according to certain rules as a reference.""","""Unlike last time, there were only two types of sorting today, so there were a lot of things I could understand. I've never heard of binary search, but it's surprisingly slow to come up with something this simple. I felt that things would be difficult to develop.""","""Different from merge sort, I felt that it would be confusing because there were many log that appeared so far in the time complexity of binary search.""",,"""I have learned about various sorts since last time, but I wondered how such a sort was born.""",,,,-2
C-2021-1_U54,,,,,"""Until now, sorting algorithms were unfamiliar to me, but the binary search method this time felt like a relatively familiar algorithm and was easy to understand.
""",,,,-2
C-2021-1_U55,,,,,"""I learned the method of binary search. It may be an excellent method mechanically, but I felt that it was a roundabout procedure from a human point of view.
It's kind of troublesome to divide a long text, rearrange it, and finally search for a keyword from there. If you are an ordinary person, you should read from the top and look for keywords.
If there is a gap between intuitive methods for humans and excellent methods for machines, I think it would be difficult to come up with good algorithms. """,,,,-1
C-2021-1_U56,"""Merge sort sorts by repeating the comparison of divided elements, and binary search uses a binary tree.""","""Binary search is an efficient task in which the number of steps does not exceed log₂n.""","""Every time I see log, I don't understand why it appears in the expression.""",,"""Including the previous review, I was able to reconfirm the contents of the sorting and the comparison of each sorting.""",,,,-1
C-2021-1_U58,,"""Based on the binary search algorithm, I was able to understand it by applying it to everyday things such as keyword search and text search using suffixes.""",,,"""I was surprised to find that the history of binary search, which may seem simple at first glance and is easy to think of, is only 30 years old.""",,,,-3
C-2021-1_U59,,,"""starling's formula""","""is not""","""I was wondering how the sorting that I had learned so far was used, so I heard that you are searching the web using information retrieval such as binary exploration. I'm also surprised that prefix lookup is now done.""",,,,-1
C-2021-1_U60,"""I studied the principles of mergesort and binary search (and the linear method). I also studied the complexity of each.""",,,,,,,,-1
C-2021-1_U61,"""Merge sort is to divide a series into two and rearrange them, then compare the beginnings of each series and output and integrate the smaller one. Merge = integration.
Linear search means searching for the desired element x from the beginning.
The binary search method is a method of searching while narrowing the range of worth more and more, and it is efficient. ""","""The number of comparisons is always less than the number of elements.
Strings are sorted lexicographically.
""","""In the case of binary search, when searching in the other half, is the element to be compared next determined?
I didn't quite understand the suffix explanation. """,,"""There was a programming-like part, and I was able to learn with interest.
I thought I would prepare for the test by solving practice problems regularly. """,,,,-2
C-2021-1_U62,"""Merge (integration) sort is a sort that advances by comparing the beginnings of two input sequences that have already been sorted and selecting the smaller one. Binary search is a sorted sequence Search while narrowing down the search position appropriately by comparing the middle of the character string with the target.It is a search method that repeats the comparison with the middle recursively.""","""I was able to understand the contents through the diagrams.""",,,"""It was easy to understand.""",,,,-1
C-2021-1_U63,"""Description of binary search and merge sort. Merge sort is an algorithm that compares two sequences from the top to produce a single aligned sequence. It is necessary to repeat several times from where the minimum division is made. Elements Binary search, which was created by improving the fact that there is a lower limit to the computational complexity of comparisons, is a mechanism that compares a certain element with the middle and the size of the sort, and repeats it.Because the number of comparisons and steps is small, it is naive Much faster than searching for patterns.""","""The fact that the number of comparisons in the worst case is the lowest for merge sort so far is undoubtedly because the number of comparisons is equal to the height of the decision tree and is always nlogn. No element comparison is performed. I found that by using a unique binary search called sorting, the minimum unit can be increased and the amount of computation can be reduced.""",,,"""Recently, I've been having trouble with my quizzes, which is disappointing. Even though I was able to keep up with the class this time, I'm disappointed with the result. The unit will change next week, so I'd like to switch over to the class. Also, I understand the structure of the content. I was impressed by the idea of ​​coming up with such an algorithm, and realized how amazing humans are.""",,,,-1
C-2021-1_U64,"""About Binary Search""","""Computational complexity of conventional sorting, method of binary search.""",,,"""It was fairly simple and straightforward compared to things like heapsort.""",,,,0
C-2021-1_U66,,,"""Although I grasped the calculation method itself, I couldn't fully understand the conceptual mechanism.""",,"""You need to know the linguistic aspects like algorithms and methodologies.""",,,,-1
C-2021-1_U68,,,,,"""I think I was able to understand most of this lecture. It was interesting because it was easy to imagine what is used in ordinary Internet searches, such as binary search.""",,,,-2
C-2021-1_U69,,"""I was able to learn about the binary search method, which is also used in today's Internet technology. I think that humans can search for the same word without thinking deeply, but as a method to find it theoretically I was intrigued when I learned that there was a search method.""","""I didn't understand how the number of comparisons required for sorting increases in proportion to nlog2 n.""","""is not""","""Binary search is easy to understand once you hear it, but I was surprised to learn that it was discovered only recently. I wondered if there might be an easier and faster computation.""",,,,-3
C-2021-1_U71,"""I learned merge sort and binary search.
Mergesort is a recursive sorting algorithm that performs split-compare-combine operations.
Binary search is an algorithm for efficiently searching objects from a set by sorting information in advance, and its applications are wide-ranging.
We also showed that the lower bound of the computational complexity of comparison sorting is O(nlog_2 n) using a decision tree. ""","""I learned how to do mergesort and binary search.""","""Nothing in particular.""",,"""The proof using the decision technique was interesting.
In addition, I felt a sense of familiarity with the fact that the sorting that I had learned so far was applied in a familiar way in the form of binary search.
Thank you for answering my previous question. """,,,,-2
C-2021-1_U73,"""In mergesort, by splitting into two sequences, one comparison always yields one value. In binary search, the size of the sequence is halved at each step, so when sorting large sequences, significantly reduces the amount of computation.""","The reason why the number of comparisons in merge sort is ""at most"" is that if either one of the two divided sequences becomes empty first, the number of comparisons becomes smaller than n1+n2-1. """,,,,,,,0
C-2021-1_U74,,"""Sorting by merge sort and search by binary search are now possible.""","""The amount of computation is a bit difficult.""",,"""Today's leaves were fairly easy to understand.""",,,,-1
C-2021-1_U75,"""Merge sort is an algorithm that divides the input number sequence, compares the magnitudes of them in order, and merges (integrates) them to obtain the result of sorting the original number sequence. Compare the two number sequences in order from the top, and store the other in a new sequence, which is simpler than heapsort because it does not use a binary tree.
By arranging the data, binary search can be performed. Binary search is a search method that compares what you want to search with the middle one of the aligned elements. Since the search range is halved with one operation, the processing is faster than the linear search that compares sequentially from the end. ""","""I learned the methods and advantages of mergesort. I learned several sorting methods and was able to compare them.By learning a process called binary search, I realized the usefulness of arranging data. did it.""",,,"""After learning various sorting methods, it was interesting to understand how to use the sorted information in concrete terms and clarify the purpose and meaning of the operations.""",,,,-1
C-2021-1_U76,"""Merge Sort, Comparison Sort Algorithm, Binary Search Algorithm,
""","""I found out how to execute mergesort and how binary search can be performed efficiently.""","""It was a little confusing to find the number of comparisons for merge sort
""",,"""I was surprised to find that there are various ways to rearrange the numbers in order, and that the efficiency varies greatly depending on the method.""",,,,-2
C-2021-1_U77,"""I learned about mergesort and binary search.""","""Now you can actually sort.""","""I didn't quite understand the worst case.""",,"""From next time onwards, I want to learn without omission.""",,,,-1
C-2021-1_U78,,"""About merge operations""",,,,,,,-1
C-2021-1_U79,"""Merge sort is a method of arranging numerical sequences by recursively repeating the division, sorting, and integration of the input numerical sequence. There are several ways to search for .For example, linear search is a search method that compares sequentially from the beginning, but it takes more time as the number increases. In point binary search, the number of comparisons is halved, so even if the number is large, the calculation does not take much time.""",,,,,,,,-2
C-2021-1_U8,"""Merge sort and the important point of binary search is to think in half""","""Dividing in half for sorting and searching is faster""",,,,,,,-3
C-2021-1_U80,"""I learned merge sort, binary search, and linear search as types of sorting. When I learned that there was search sorting in addition to comparison sorting, I thought that this was more information-oriented processing. Keyword searches, etc., are part of everyday life. It's something I see, so I can really feel it.""",,,,,,,,-2
C-2021-1_U81,,"""Binary deep search is overwhelmingly faster because it requires fewer comparisons than linear deep search""","""It was difficult to understand that the number of comparisons in the comparison sorting algorithm increases in proportion to nlog_2n.""",,"""I was surprised that a simple comparison method was recently invented. I'm excited to think that there is a better way that I don't know yet.""",,,,-1
C-2021-1_U82,"""About Mergesort
About linear search and binary search
How Keyword Search Works""","""・ Since merge sort does not use a binary tree, it is simple ・ Compares two sequences from the beginning ・ The solution is narrowed down by the comparison, and the solution is determined by repeating it
・The order in which elements are compared = Algorithm ・Extracting the target from a large amount of data is called information retrieval ・Binary search is significantly faster than linear search""",,,,,,,-1
C-2021-1_U83,"""Merge sort is a method that does not use a binary tree, but compares two numbers and rearranges them in order.""",,,,"""It was refreshing to look up something like looking up a dictionary.""",,,,-2
C-2021-1_U84,,"""It turns out that sorting by binary search is efficient.""",,,"""I was able to understand properly.""",,,,-2
C-2021-1_U85,"""A more efficient sorting method than binary trees is merge sort. Merge sort divides the elements and performs recursion. It can be performed with less computational complexity than other methods. Binary search. The other method is to compare one element with the already sorted elements, especially if it's a string, compare the suffixes and perform a search, which is efficient.""",,,,"""It was a theoretical content, and it was interesting to listen to. It was fun to understand how word searches are performed. The content will change completely from the next time, so I'm going to give it another shot. I would like to come to class.""",,,,-1
C-2021-1_U86,"""On Mergesort and Binary Search""","""Merge is simpler than heap""","""I knew the linear search method, but I didn't understand the computation of the binary search algorithm""",,"""I think I would have understood a little faster if I had prepared.""",,,,-1
C-2021-1_U87,"""Merge sort does not use a binary tree, but continues to divide until it can be divided, and then merges the two sequences to sort the original sequence. Unlike linear search, which searches sequentially from the end, Binary search searches from the half, so it can be searched overwhelmingly quickly. Keyword searches are performed by applying it.""","""Merge sort is simpler and faster to sort than binary tree or heap sort. I use binary search for keyword searches that I usually use.""",,,,,,,-1
C-2021-1_U88,"""Merge sort → Divide sequence A into A1 and A2, sort them, compare and integrate them in order from the beginning, and sort A.
　　　　　　　The number of comparisons...at most log""",,,,"""Once I finished learning about sorting, I thought I'd organize and review again.""",,,,-3
C-2021-1_U89,"""・ Merge sort
Divide into two number sequences, sort each, and then merge the two columns.
　Merging is an operation that outputs a single sequence of numbers from two already-ordered input numbers.
・The comparison sorting algorithm can be represented by a decision tree. In other words, the order of comparing elements = algorithm
• The number of comparisons of the algorithm for the input sequence A is equal to the number of edges from the root to the leaves of the decision tree.
• The algorithm's worst case number of comparisons is equal to the height of the decision tree.
- The number of comparisons in the comparison sorting algorithm is at least equal to or greater than the minimum height of a binary tree with n! leaves.
・Information retrieval is the process of retrieving information that matches a purpose from a large amount of data. (Google)
One of them is binary search.
・When the elements of S are not organized
Search for x from the beginning (linear search)
・If it is organized → P 12
""",,,,,,,,-2
C-2021-1_U9,,"""same as above""",,,,,,,-1
C-2021-1_U90,"""Mergesort and Search Algorithms""","""I understood the methods of merge sort and linear search""","""Why bother to merge sort with binary trees?""",,"""b is over, and it's about time I can't keep up with my understanding""",,,,-2
C-2021-1_U91,"""I learned about the method of determining the position of an element called the binary search method""","""It is now possible to determine the position of an element using a method called binary search.""",,,"""The content of the binary search method is not difficult, but it feels like a technique that I don't usually pay attention to, and it was a little fun.""",,,,-3
C-2021-1_U92,"""It was a class on mergesort and binary search.""","""Binary search computation is fast, and I found the method of mergesort.""","""I know how it works, I know what it's like, but I find it difficult when it comes to specific calculations.""",,,,,,-1
C-2021-1_U93,"""On Mergesort and Binary Search""","""I think I understand a little bit about binary search.""","""I don't understand mergesort in general.""",,"""I wanted to listen to the class from beginning to end.""",,,,-3
C-2021-1_U94,,"""I learned the word merge sort last week, but I didn't know what it meant, but today I understood how it works.
In linear search, the number of comparisons increases as x moves to the right, but it was found that binary search can be performed efficiently. ""","""I knew binary search for numbers, but I didn't quite understand what binary search for text was doing.""",,"""Merge sort seems to take a long time just by looking at the figure, but I was surprised that the number of comparisons in the worst case was not so large by dividing and sorting.""",,,,-2
C-2021-1_U95,"""・Merge sort Operation to output one sorted number sequence from two already sorted input number sequences.
・Linear search　Since the elements are not aligned, the operation searches for x in order from the beginning.
・Binary search　Since the elements are arranged, the operation of searching by comparing the middle element and x. """,,,,,,,,-2
C-2021-1_U96,"""Mergesort: split-tournament method
Binary search method: fill in half and half
""","""Understanding Binary Search""","""Understanding Merge Sort Comparison Count""","""B-09 p24 says 'the total number of comparisons of elements in each row does not exceed n', but I think it would be better to say 'n/2' in a smaller way. rice field. Can it exceed n/2? ""","""I was having trouble entering teams, so next time I can't enter teams, I will restart immediately.""",,,,0
C-2021-1_U97,"""Description of mergesort, linear search, and binary search""",,,,,,,,-1
C-2021-1_U98,,"""Binary search is a very convenient method, but surprisingly, it was not discovered until about 30 years ago, and it turned out that linear search was the mainstream.""","""It was difficult to understand the proof about the number of sort comparisons, so I would like to review it.""",,"""When I realized that Google's search system is also based on binary search, I realized just how convenient this method is.
It was very easy to understand when I followed the movement to compare with my eyes. """,,,,0
C-2021-1_U99,,"""Computation time is not a big deal when the size is small, so the important thing is how quickly it can be computed when the size becomes huge.""","""I was able to understand the mechanisms and calculation methods of merge sort and binary search.
I thought I didn't have enough understanding of binary search of text, so I would like to review it again. """,,"""I was able to gain a good understanding of the two computational algorithms.""",,,,-3
C-2021-2_U10,"""For sorting, I understood the mechanism of binary tree sorting, followed by heap sorting and merge sorting, and found that as the number of input integers increased, heap sorting was more advantageous than naive binary tree sorting.""","""Compared to other sorts, heap sort can reduce the number of comparisons as the number of input integers increases, and it was found that nlog₂n.""",,,"""It was interesting to learn about sorting that has been devised so that it can be arranged more easily when comparing more complicated elements.""",,,,0
C-2021-2_U100,"""A heap is a tree in which there are exactly 2^d nodes of depth d, and the value of any node is less than or equal to the value stored in its parent. Sorting using it is called heap sort. Merge. Sorting is to divide a number sequence into smaller number sequences and merge (unify) the sorted number sequences to obtain the sorted result.Comparison-based sorting algorithms are based on the comparison result of two elements. The solution candidates can be narrowed down and represented as a decision tree.The order in which the elements are compared is the algorithm.Extracting the one that matches the purpose from a large amount of data is called information retrieval.If it is not sorted, search from the beginning The method of searching is called linear search, and the method of searching while comparing the elements in the middle when they are aligned is called binary search.""","""In addition to the last time, I was able to understand the 5 types of sorting, and after understanding how to use it, I was able to understand in what situations it should be used. Also, after sorting, I was able to perform a binary search by searching for elements. and understand that the length is 1/2.""",,,"""Because I was able to understand the mechanism of sorting, which I was completely skeptical about at first, I thought it would be interesting to explain the work that I usually don't think much about from an algorithmic point of view.""",,,,-1
C-2021-2_U101,"""A heap is a binary tree with n nodes and height h. (2) The value of any node is less than or equal to the value stored in its parent.A binary tree is created so that it is always a heap, and the root is calculated for the completed tree. By repeating the operation of taking out and adding the last number to the root and adjusting it so that it becomes a heap, the number of comparisons in heap sort exceeds 3nlog_2(n) when the input size is n. Therefore, the computational complexity is of the order of O(nlogn).Comparing naive binary tree sorting with heapsorting, heapsorting is faster as the number of inputs increases.
Similar to heapsort, mergesort also requires O(nlogn) comparisons. This is a method of creating the same situation as sorting by dividing until the size becomes 1, and repeating merging to complete the sorting.
Comparison-based algorithms always require O(nlogn) comparisons. A comparison sorting algorithm can be represented by a decision tree, where the number of comparisons is equal to the number of edges from the root to the leaves of the decision tree, and the worst case number of comparisons is equal to the height of the decision tree. Also, the number of comparisons in the comparison sorting algorithm is at least the minimum height of a binary tree with n! leaves. ""","""I was able to understand how to create a heap and how to arrange numbers from the completed heap. I also understood the method of merge sort and the reason why it divides until the size becomes 1. I also understood the exercises. I think I could.""","""Nothing in particular.""",,"""In this class, the sorting procedure was shown using a specific number sequence, so it was easy to understand the heap conditions and how to merge, which I didn't understand with just letters. Although I checked several times, I couldn't access the lecture materials, so I was in a hurry to prepare for class, and there were some parts where I couldn't catch up with my understanding. I'm curious about algorithms that don't compare, so I'll look into it myself.

I apologize for the abstract questions and requests last time. I was able to understand with the supplementary story. thank you very much. """,,,,-1
C-2021-2_U102,"""In this lecture, I learned about heapsort and mergesort. Finally, I learned a bit about binary search.""","""We found that the number of comparisons for heapsort is lower than that for binary tree sorting when n=38. Merge sort is a method that divides a sequence, sorts them out, and integrates them. have understood.""",,,"""In this lecture, I mainly learned about heap sort and merge sort, but I thought it was interesting to think about how to sort a sequence in ascending order with a small amount of computation. I would like to learn about binary search as well. .""",,,,0
C-2021-2_U103,"""Continuing from the last lecture, we touched on various comparison-based sorting algorithms such as heap sort and merge sort, and learned about the number of comparisons.""","""There are various approaches to solving the sorting problem, but the heapsort and mergesort we dealt with in this paper have a low number of comparisons among the comparison-based sorting algorithms, and the number of comparisons required for the comparison-based sorting algorithms is large. It turns out that the order is nlog₂n.""",,,"""Today was also interesting because I learned how to solve various sorting problems. I'm looking forward to learning more about methods other than element comparison from the next time onwards. I'm glad that it was an interesting learning experience as it's the principle of the engine.""",,,,-1
C-2021-2_U104,"""For a binary tree with n nodes and height h, if there are 2^d nodes with depth d and the value of any node is less than or equal to the value stored in its parent, the tree is called a heap. Also, the operation of outputting one sequence that has been sorted from two input sequences that have already been sorted is called merging.""",,"""I still understand the order notation, but I don't think I understand it.""",,"""I found it both fun and difficult to think mathematically about how to sort faster.""",,,,0
C-2021-2_U105,"""I mainly learned about heapsort and mergesort. I solved an example using a binary tree. A binary tree goes through the left child in multiplication order, then reads its own value, then goes through the right child. A heap of heapsort is a binary tree with n nodes and height h, and there are exactly 2^d nodes with depth d, and nodes with depth h exist in order from the left. , and a tree that satisfies the condition that the value of any node is less than or equal to the value stored in its parent. A simpler version without a binary tree is merge sort.""","""There is a way to compare elements without using a binary tree.""","""I wondered where heapsort was better than mergesort. I wondered if only mergesort was good enough.""",,,,,,-1
C-2021-2_U106,"""Conditions of heap, relationship between sorting and heap using binary tree, upper limit of comparison count of heap sorting, comparison of computational complexity of each sorting algorithm, method and comparison count of merge sorting algorithm, comparison sorting algorithm, linear search I was scared.""","""I was able to understand how to make a sort using a binary tree and how to do a heapsort better than last week. I was also able to learn how to calculate a mergesort, comparison sorting algorithms, and the relationship between comparison sorting algorithms and binary trees. rice field.""","""I couldn't really imagine the merits of using mergesort and in what situations mergesort would be used.""",,"""The properties of binary trees and their relation to each computational algorithm were interesting. I was also surprised that the computational algorithm we dealt with in the class was O(nlogn). Also, the fact that linear search does not use iodine is what I found interesting. It was interesting because it hadn't happened before.""",,,,-1
C-2021-2_U107,"""Mechanism and characteristics of heapsort, mechanism and characteristics of mergesort, methods to reduce the number of comparisons in sorting, and explanation of decision trees""",,,,"""I was able to grasp the image of the order notation. I was impressed that even a complicated procedure like heap sorting made sense from the point of view of the efficiency of the number of comparisons.
""",,,,-1
C-2021-2_U108,"“While heapsort compares numbers using binary trees, mergesort is a simple algorithm that uses O(nlogn) comparisons like heapsort and does not use binary trees. However, the computational complexity of the algorithm is at least larger than n[nlogn].I unraveled the mechanism from a concrete example and investigated the computational complexity of the algorithm again using a formula.""","""Sorting elements according to a certain criterion from smallest to largest is called 'heapsort'. In particular, a binary tree is called a ""heap"" when there are exactly 2^d nodes with a depth of d, existing sequentially from the left, and the value of any node is less than or equal to the value stored in its parent. Also, if the condition 2 of the heap is not satisfied, it may be replaced with the parent appropriately. When the size of the input sequence is n, the comparison rank of heapsort does not exceed 3nlogn. The complexity of the algorithm is O(nlogn). By the way, I noticed that O(cf(n)) = O(f(n)) holds true by freely changing the positive constant c. On the other hand, ""merge sort"" is to output one number sequence aligned from two number sequences. is. Using the conventional sorting, the comparison rank will eventually be n[logn] or more. ""","""Mergesort should be simpler than heapsort in that it doesn't use binary trees, so why is the complexity of both cases at least n[nlogn]?""",,,,,,0
C-2021-2_U109,"""Heapsort, Mergesort""","""I was able to understand how to do heapsort, how to do mergesort.""","""I knew how to do it and the amount of calculation for heapsort, but I couldn't understand the explanation of the preparation.""",,"""I want to review the parts I didn't understand by watching the lecture video again.""",,,,-1
C-2021-2_U11,"""Heapsort eliminates the shortcomings of naive sorting using binary trees.
Heapsort and mergesort steps, number of comparisons
A description of the number of comparisons for comparison-based sorting algorithms
""","""How to do heapsort and mergesort
Comparison-based sorting algorithms require O(n*logn) steps
""",,,"""It was a very interesting class because I learned about sorting with smaller orders than last week.""",,,,-1
C-2021-2_U110,"""What we learned this time are heap sort and merge sort. Heap sort is a binary tree that satisfies the condition that the input string is packed in order from the top to the heap, and the child is smaller than the parent. Since the height of the binary tree is at most log2n and the number of comparisons for each node is three, the number of comparisons is at most 3nlog2n and the order is nlogn. Sorting compares and integrates two sequences that have already been sorted, and divides a sequence into the smallest sequence and integrates it again.At this time, the number of comparisons is at most nlog2n, and the order is nlogn. and this order is the smallest among the sorts involving comparisons.""","""This time, I got a rough idea of ​​how heapsort and mergesort work.""",,,,,,,-1
C-2021-2_U111,,,,,"""Personally, mergesort was easier to understand than other sorting algorithms. I realized once again that computational complexity is a very important factor in sorting.""",,,,-1
C-2021-2_U112,"""The disadvantage of the binary tree is that the calculation time changes depending on how the input sequence is arranged. Regarding the binary tree, there are exactly 2^d nodes with a depth of d, and nodes with a depth of h exist in order from the left. and the tree is called a heap if the value of any node is less than or equal to the value stored in its parent. Comparing which is faster between simple binary tree sorting and heapsorting, heapsorting is reversed from the middle, and heapsorting is faster as the number of input integers increases. In addition, merge sort does not use a binary tree, but sorts by merging (integrating) the sequence. In mergesort, each of the two original sequences being compared is aligned. ""","""I was able to review and understand how binary trees work. I was able to understand the basics of how heap sort works, and how merge sort works. Merge sort uses two already aligned sequences to sort I learned a lot about how to go about it.""","""I have grasped the overall picture of heapsort, but there are some details that I do not understand, so I would like to focus on reviewing those parts. Also, review the number of comparisons in the comparison sorting algorithm using specific examples. I felt the need.""","""Nothing in particular.""","""Heapsort felt a little more complicated than the sorts I've learned so far. Merge sort is easy to imagine and I think it was relatively easy to understand. I learned about various sorting algorithms in the previous classes, so I can grasp the big picture again. I would like to review detailed knowledge and methods, etc. Also, when I learned more about the number of comparisons in the comparison sorting algorithm, I felt it was difficult, but at the same time I became interested. I learned a little bit about selection, but I was intrigued because it sounded familiar.""",,,,-1
C-2021-2_U113,"""Description of heapsort and mergesort.""","""Mergesort is a sorting method that divides a sequence of numbers, sorts them, and then merges them.""","""I didn't understand the second stage of heapsort, so I'd like to try it by hand.""","""Nothing in particular.""","""In the beginning, the number of comparisons was smaller for n^2, but I found it interesting that as n increased, the number of heapsorts reversed and decreased.""",,,,-2
